customer_id,branch,city,quantity,avg_sales_On_this_product_line,datee
3,C,Naypyitaw,10,5.7,2019-02-24
14,A,Yangon,10,5.5,2019-02-07
5,A,Yangon,10,5.6,2019-03-29
1,B,Mandalay,1,5.1,2019-02-08
6,C,Naypyitaw,1,5.5,2019-01-07
11,B,Mandalay,1,5.7,2019-01-17
6,C,Naypyitaw,10,5.1,2019-03-19
5,C,Naypyitaw,1,5.1,2019-01-25
10,A,Yangon,10,5.7,2019-01-20
13,A,Yangon,10,5.5,2019-03-06
15,A,Yangon,10,5.6,2019-03-13
15,A,Yangon,10,5.5,2019-01-24
4,A,Yangon,1,5.6,2019-02-02
12,C,Naypyitaw,10,5.5,2019-01-06
10,C,Naypyitaw,10,5.1,2019-02-11
1,C,Naypyitaw,10,5.7,2019-01-13
6,C,Naypyitaw,9,5.1,2019-01-09
7,A,Yangon,9,5.1,2019-01-12
10,C,Naypyitaw,10,5.5,2019-03-05
4,A,Yangon,1,5.5,2019-01-02
3,C,Naypyitaw,10,5.5,2019-01-26
14,C,Naypyitaw,1,5.6,2019-02-06
9,A,Yangon,1,5.7,2019-03-08
5,B,Mandalay,10,5.6,2019-03-29
5,C,Naypyitaw,1,5.1,2019-03-26
11,C,Naypyitaw,9,5.1,2019-03-01
6,A,Yangon,10,5.7,2019-01-12
7,C,Naypyitaw,10,5.7,2019-03-03
9,B,Mandalay,1,5.1,2019-01-16
11,A,Yangon,10,5.5,2019-02-02
14,C,Naypyitaw,9,5.1,2019-01-08
2,B,Mandalay,10,5.5,2019-02-16
3,C,Naypyitaw,10,5.5,2019-01-23
3,C,Naypyitaw,10,5.6,2019-01-25
15,C,Naypyitaw,10,5.6,2019-02-05
6,C,Naypyitaw,1,5.5,2019-02-22
1,A,Yangon,10,5.1,2019-02-10
15,A,Yangon,9,5.1,2019-01-29
2,B,Mandalay,1,5.7,2019-01-04
3,A,Yangon,1,5.5,2019-02-25
4,B,Mandalay,10,5.5,2019-02-20
14,C,Naypyitaw,10,5.7,2019-01-16
9,A,Yangon,10,5.1,2019-02-08
14,A,Yangon,10,5.5,2019-03-23
9,A,Yangon,1,5.7,2019-02-10
5,C,Naypyitaw,1,5.1,2019-01-13
4,A,Yangon,1,5.7,2019-03-23
10,B,Mandalay,10,5.6,2019-02-06
13,C,Naypyitaw,10,5.7,2019-03-18
13,A,Yangon,1,5.7,2019-03-22
7,C,Naypyitaw,1,5.1,2019-02-21
10,A,Yangon,10,5.6,2019-03-09
7,A,Yangon,1,5.1,2019-01-11
6,C,Naypyitaw,10,5.1,2019-03-17
8,A,Yangon,1,5.7,2019-01-31
1,A,Yangon,10,5.5,2019-02-09
4,B,Mandalay,1,5.5,2019-02-26
5,B,Mandalay,10,5.5,2019-01-08
13,A,Yangon,10,5.7,2019-01-04
7,C,Naypyitaw,10,5.7,2019-01-07
5,C,Naypyitaw,10,5.1,2019-03-20
13,A,Yangon,10,5.5,2019-03-20
1,C,Naypyitaw,1,5.7,2019-03-06
8,A,Yangon,1,5.5,2019-01-06
12,C,Naypyitaw,1,5.7,2019-03-24
4,B,Mandalay,10,5.7,2019-01-24
8,A,Yangon,1,5.7,2019-02-18
2,B,Mandalay,10,5.6,2019-03-13
3,C,Naypyitaw,1,5.7,2019-01-19
13,B,Mandalay,1,5.6,2019-03-12
9,C,Naypyitaw,1,5.5,2019-02-25
12,C,Naypyitaw,10,5.7,2019-02-10
11,C,Naypyitaw,1,5.6,2019-01-18
15,A,Yangon,9,5.1,2019-03-19
8,A,Yangon,9,5.1,2019-02-27
1,A,Yangon,1,5.7,2019-02-04
13,B,Mandalay,10,5.6,2019-02-27
11,C,Naypyitaw,10,5.1,2019-02-15
15,C,Naypyitaw,1,5.7,2019-03-04
15,C,Naypyitaw,10,5.1,2019-03-08
6,C,Naypyitaw,10,5.5,2019-01-09
1,B,Mandalay,1,5.5,2019-03-16
11,C,Naypyitaw,10,5.5,2019-01-27
9,B,Mandalay,1,5.5,2019-01-31
15,A,Yangon,10,5.6,2019-02-20
15,C,Naypyitaw,9,5.1,2019-01-27
6,B,Mandalay,10,5.1,2019-01-26
11,A,Yangon,1,5.7,2019-02-13
7,A,Yangon,10,5.5,2019-03-09
6,A,Yangon,1,5.6,2019-03-06
6,C,Naypyitaw,1,5.7,2019-02-04
10,B,Mandalay,10,5.6,2019-01-02
2,B,Mandalay,1,5.6,2019-01-25
4,C,Naypyitaw,1,5.6,2019-01-22
4,C,Naypyitaw,10,5.1,2019-02-08
10,C,Naypyitaw,1,5.1,2019-03-09
11,B,Mandalay,9,5.1,2019-01-02
8,A,Yangon,10,5.7,2019-03-08
4,B,Mandalay,1,5.1,2019-02-22
7,C,Naypyitaw,1,5.1,2019-01-08
15,B,Mandalay,1,5.6,2019-01-28
8,C,Naypyitaw,10,5.5,2019-02-14
15,B,Mandalay,1,5.6,2019-01-12
6,B,Mandalay,1,5.5,2019-03-26
8,A,Yangon,1,5.6,2019-03-03
11,B,Mandalay,10,5.7,2019-02-07
6,C,Naypyitaw,10,5.7,2019-01-27
11,C,Naypyitaw,1,5.5,2019-02-23
15,B,Mandalay,10,5.5,2019-03-03
4,C,Naypyitaw,1,5.5,2019-03-17
8,C,Naypyitaw,10,5.5,2019-03-02
2,C,Naypyitaw,1,5.5,2019-02-09
14,C,Naypyitaw,1,5.7,2019-02-15
8,A,Yangon,10,5.1,2019-02-02
5,B,Mandalay,10,5.5,2019-03-16
11,A,Yangon,1,5.7,2019-01-29
10,C,Naypyitaw,10,5.7,2019-02-15
3,B,Mandalay,10,5.7,2019-02-12
2,C,Naypyitaw,10,5.5,2019-01-01
15,B,Mandalay,10,5.1,2019-02-28
10,C,Naypyitaw,1,5.7,2019-01-30
10,A,Yangon,10,5.1,2019-03-15
6,C,Naypyitaw,10,5.7,2019-03-05
7,B,Mandalay,1,5.5,2019-01-21
6,B,Mandalay,1,5.5,2019-02-03
11,C,Naypyitaw,1,5.1,2019-01-05
7,B,Mandalay,1,5.5,2019-02-25
14,C,Naypyitaw,1,5.1,2019-03-18
12,B,Mandalay,10,5.5,2019-02-07
5,B,Mandalay,10,5.7,2019-02-06
10,B,Mandalay,1,5.1,2019-01-05
5,A,Yangon,1,5.7,2019-03-07
4,C,Naypyitaw,1,5.6,2019-01-03
1,B,Mandalay,1,5.5,2019-01-05
3,A,Yangon,10,5.1,2019-01-12
1,B,Mandalay,9,5.1,2019-02-22
3,C,Naypyitaw,10,5.5,2019-01-30
10,C,Naypyitaw,10,5.5,2019-02-11
1,A,Yangon,10,5.5,2019-01-17
6,C,Naypyitaw,10,5.5,2019-02-03
13,A,Yangon,9,5.1,2019-01-01
7,B,Mandalay,10,5.5,2019-01-29
8,C,Naypyitaw,10,5.1,2019-03-14
9,A,Yangon,1,5.5,2019-02-07
9,C,Naypyitaw,1,5.7,2019-01-23
5,C,Naypyitaw,1,5.1,2019-01-26
10,C,Naypyitaw,10,5.5,2019-03-14
6,A,Yangon,1,5.1,2019-01-23
6,A,Yangon,1,5.7,2019-02-07
11,C,Naypyitaw,1,5.5,2019-01-19
9,A,Yangon,10,5.5,2019-02-03
1,A,Yangon,1,5.5,2019-03-20
8,B,Mandalay,10,5.1,2019-01-12
9,B,Mandalay,1,5.1,2019-02-16
11,B,Mandalay,10,5.6,2019-03-14
1,A,Yangon,1,5.1,2019-01-26
11,A,Yangon,10,5.5,2019-01-19
6,B,Mandalay,10,5.6,2019-01-15
6,C,Naypyitaw,1,5.7,2019-03-19
11,B,Mandalay,1,5.1,2019-03-20
9,C,Naypyitaw,10,5.7,2019-02-24
13,A,Yangon,10,5.7,2019-02-03
4,C,Naypyitaw,1,5.7,2019-02-27
3,A,Yangon,1,5.1,2019-02-26
8,C,Naypyitaw,10,5.5,2019-02-12
1,A,Yangon,10,5.1,2019-01-14
8,A,Yangon,10,5.7,2019-03-01
1,C,Naypyitaw,10,5.6,2019-02-07
12,B,Mandalay,1,5.7,2019-02-12
1,B,Mandalay,1,5.5,2019-01-14
13,A,Yangon,10,5.7,2019-01-16
7,A,Yangon,10,5.6,2019-03-04
1,C,Naypyitaw,10,5.7,2019-01-12
13,B,Mandalay,10,5.1,2019-02-27
13,C,Naypyitaw,1,5.5,2019-01-21
14,B,Mandalay,10,5.5,2019-03-05
10,A,Yangon,1,5.1,2019-02-08
12,B,Mandalay,1,5.5,2019-03-01
12,C,Naypyitaw,10,5.6,2019-03-10
2,C,Naypyitaw,10,5.7,2019-01-29
2,C,Naypyitaw,1,5.5,2019-01-14
5,C,Naypyitaw,1,5.5,2019-02-02
6,B,Mandalay,10,5.1,2019-01-08
13,A,Yangon,10,5.7,2019-02-22
8,A,Yangon,10,5.5,2019-02-27
1,B,Mandalay,10,5.5,2019-02-11
9,B,Mandalay,10,5.7,2019-01-31
9,C,Naypyitaw,1,5.5,2019-02-06
9,B,Mandalay,1,5.5,2019-01-03
9,A,Yangon,1,5.1,2019-02-05
5,A,Yangon,1,5.1,2019-03-03
15,B,Mandalay,10,5.7,2019-01-15
8,C,Naypyitaw,1,5.7,2019-01-24
9,A,Yangon,10,5.5,2019-02-22
14,B,Mandalay,1,5.6,2019-03-15
15,A,Yangon,9,5.1,2019-03-04
3,B,Mandalay,1,5.6,2019-01-14
13,C,Naypyitaw,10,5.1,2019-01-31
2,A,Yangon,10,5.7,2019-02-24
15,A,Yangon,1,5.7,2019-03-22
2,C,Naypyitaw,1,5.5,2019-02-07
1,C,Naypyitaw,10,5.7,2019-03-24
14,A,Yangon,10,5.7,2019-01-01
5,A,Yangon,1,5.6,2019-02-14
5,A,Yangon,1,5.1,2019-03-26
11,C,Naypyitaw,10,5.7,2019-01-15
5,B,Mandalay,1,5.7,2019-02-28
7,A,Yangon,1,5.1,2019-01-26
3,A,Yangon,1,5.7,2019-01-27
2,C,Naypyitaw,1,5.5,2019-01-30
10,A,Yangon,1,5.1,2019-01-25
8,B,Mandalay,10,5.7,2019-02-25
15,B,Mandalay,9,5.1,2019-02-16
3,C,Naypyitaw,1,5.7,2019-02-20
9,C,Naypyitaw,1,5.1,2019-03-13
11,B,Mandalay,10,5.7,2019-01-28
6,C,Naypyitaw,1,5.1,2019-02-12
3,B,Mandalay,1,5.7,2019-02-25
12,B,Mandalay,10,5.5,2019-01-08
4,B,Mandalay,10,5.5,2019-02-20
1,A,Yangon,1,5.5,2019-02-05
3,A,Yangon,10,5.7,2019-03-23
15,A,Yangon,10,5.5,2019-03-17
12,C,Naypyitaw,10,5.6,2019-02-09
7,B,Mandalay,10,5.7,2019-01-27
3,C,Naypyitaw,1,5.5,2019-03-14
12,B,Mandalay,1,5.5,2019-02-15
1,A,Yangon,10,5.5,2019-02-27
3,C,Naypyitaw,9,5.1,2019-03-27
11,A,Yangon,10,5.7,2019-01-19
3,B,Mandalay,1,5.1,2019-02-03
12,C,Naypyitaw,10,5.7,2019-01-09
12,C,Naypyitaw,1,5.1,2019-03-18
6,A,Yangon,1,5.1,2019-03-19
14,B,Mandalay,10,5.5,2019-01-01
6,B,Mandalay,1,5.7,2019-03-10
13,B,Mandalay,1,5.5,2019-02-04
11,C,Naypyitaw,10,5.7,2019-03-29
10,B,Mandalay,10,5.5,2019-01-24
1,B,Mandalay,10,5.1,2019-02-22
13,C,Naypyitaw,1,5.7,2019-02-18
6,C,Naypyitaw,1,5.6,2019-01-29
4,B,Mandalay,10,5.7,2019-03-02
6,A,Yangon,1,5.5,2019-02-09
9,A,Yangon,1,5.7,2019-02-22
