Customer_ID,num_of_transaction,purchase_value,Branch
5,13,3835,A
7,11,3336,A
14,10,2669,A
8,10,4077,A
11,9,2251,A
9,9,2251,A
13,8,2852,A
12,8,2499,A
4,8,2162,A
10,7,2188,A
2,7,1533,A
1,7,1613,A
15,7,2773,A
3,7,1818,A
6,6,1804,A
5,11,4030,B
7,11,4919,B
9,10,2703,B
4,9,2696,B
12,9,2422,B
6,8,1652,B
2,8,3157,B
14,8,2295,B
3,7,1332,B
15,7,2084,B
11,6,2450,B
8,5,1912,B
10,5,1177,B
13,4,745,B
1,4,1024,B
8,10,3234,C
9,10,3798,C
12,10,2906,C
3,8,3100,C
2,8,3380,C
15,8,2029,C
11,7,3403,C
1,7,2784,C
4,7,1264,C
10,6,2045,C
5,6,2030,C
14,6,1666,C
6,6,2128,C
7,4,2026,C
13,3,1407,C
